asin	product_title	product_price	unit_price	unit_count	product_original_price	currency	product_star_rating	product_num_ratings	product_url	product_photo	product_num_offers	product_minimum_offer_price	is_best_seller	is_amazon_choice	is_prime	climate_pledge_friendly	sales_volume	delivery	has_variations	product_badge	product_byline	coupon_text
B0CKS19V7Y	Cadeira Assento Transporte Pet Cachorro Gato Carro Seguro Confortável Viagem Até 30	R$ 189,0	R$ 1,8	100.0		BRL	4.4	66	https://www.amazon.com.br/dp/B0CKS19V7Y	https://m.media-amazon.com/images/I/51ilROsLKVL._AC_UL960_FMwebp_QL65_.jpg	1	R$ 189,0	False	False	False	False	Mais de 50 compras no mês passad	Entrega GRÁTIS: sex., 18 de jul	False			Economize 10% com o cupom
B0DHYQCNL1	Bionatural Prime - Cordeiro Cães De Raças Peq. Adultos 10,1	R$ 188,9				BRL	3.7	4	https://www.amazon.com.br/dp/B0DHYQCNL1	https://m.media-amazon.com/images/I/51AzxUEmGrL._AC_UL960_FMwebp_QL65_.jpg	3	R$ 188,9	False	False	False	False	Mais de 20 compras no mês passad		False			
B0D2XSVK2F	2.6L Fonte de água para gatos, Sensor sem fio USB Fonte de água Automática para Gatos e Vários Animais de Estimação, Operada s	R$ 186,1	R$ 0,2	716.0	R$ 209,0	BRL	4.5	47	https://www.amazon.com.br/dp/B0D2XSVK2F	https://m.media-amazon.com/images/I/612dfW7QlEL._AC_UL960_FMwebp_QL65_.jpg	1	R$ 186,1	False	False	True	False	Mais de 50 compras no mês passad		False	Com Prime		
B07SM1CJQD	Quatree Supreme Sabor Frango e Batata Doce Cães Adultos Raças Pequenas 10,1	R$ 185,9				BRL	4.8	37	https://www.amazon.com.br/dp/B07SM1CJQD	https://m.media-amazon.com/images/I/51PeII-0CBL._AC_UL960_FMwebp_QL65_.jpg	3	R$ 185,9	False	False	False	False	Mais de 100 compras no mês passad		False			
B09V3F97FQ	Antioxidante Gerioox Geriátrico Labyes 30 Comprimido	R$ 184,9	R$ 6,1	30.0	R$ 220,6	BRL	4.8	80	https://www.amazon.com.br/dp/B09V3F97FQ	https://m.media-amazon.com/images/I/51ynSo-hVPL._AC_UL960_FMwebp_QL65_.jpg	1	R$ 184,9	False	False	False	False	Mais de 50 compras no mês passad	Entrega R$ 2,43: qua., 30 de jul.Ou entrega mais rápida: 17 - 21 de jul	False			
B07XZGZRR6	Revolution.12% Marrom Cx., 0,50ml Caes Zoetis para Cãe	R$ 181,9	R$ 363,8	1.0		BRL	4.7	112	https://www.amazon.com.br/dp/B07XZGZRR6	https://m.media-amazon.com/images/I/51WtHJIR4KL._AC_UL960_FMwebp_QL65_.jpg	17	R$ 173,4	False	False	False	False	Mais de 40 compras no mês passad	Entrega GRÁTIS: qua., 6 de ago	False			
B0DQLTMT94	Rampa Pet Cachorro Antiderrapante Ajustável Regulável Sofá E C	R$ 180,0	R$ 180,0	1.0		BRL	4.8	6	https://www.amazon.com.br/dp/B0DQLTMT94	https://m.media-amazon.com/images/I/51fygaR7UgL._AC_UL960_FMwebp_QL65_.jpg	1	R$ 180,0	False	False	False	True		Entrega GRÁTIS: sex., 1 de ago	False			
B0CDCM8GVQ	Cama Para Cachorro Grande 100x87 Cm - ESCOLHA A COR - 100% Lavável e Resistente - Pet Querido (CINZA + PRETO	R$ 179,9	R$ 179,9	1.0		BRL	4.8	530	https://www.amazon.com.br/dp/B0CDCM8GVQ	https://m.media-amazon.com/images/I/516alcABdEL._AC_UL960_FMwebp_QL65_.jpg	1	R$ 179,9	False	False	False	False	Mais de 20 compras no mês passad	Entrega GRÁTIS: seg., 21 de jul	False			
B082DFDB1B	Inovet Plaqueoff	R$ 178,8	R$ 178,8	1.0		BRL	4.5	1274	https://www.amazon.com.br/dp/B082DFDB1B	https://m.media-amazon.com/images/I/51uijk9dU+L._AC_UL960_FMwebp_QL65_.jpg	1	R$ 178,8	False	False	False	False	Mais de 400 compras no mês passad	Entrega GRÁTIS: dom., 20 de jul	False			
B0DPHWTQ4Y	Bolsa Transporte Pet para Avião Cabine Viagem Ventilação Cães e Gatos Reforçada até 9kg Tela Arejada Alça e Tapete Removíve	R$ 178,0	R$ 178,0	1.0		BRL	4.9	13	https://www.amazon.com.br/dp/B0DPHWTQ4Y	https://m.media-amazon.com/images/I/71e4y05KC7L._AC_UL960_FMwebp_QL65_.jpg	1	R$ 178,0	False	False	False	False		Entrega GRÁTIS: sex., 18 de jul	False			
B07YSTCTLL	ADAPTIL Difusor + Refil - ajuda os cães em situações desafiantes como medo de ficar sozinho, fogos de artifício e adaptação a nova casa - Refil d	R$ 176,2	R$ 176,2	1.0		BRL	4	65	https://www.amazon.com.br/dp/B07YSTCTLL	https://m.media-amazon.com/images/I/61iQ5eQ19jL._AC_UL960_FMwebp_QL65_.jpg	14	R$ 165,2	False	False	False	False		Entrega GRÁTIS: ter., 22 de jul	False			
